a menos que ...,unless ...,,clause-for-subjunctive
antes (de) que ...,before ...,,clause-for-subjunctive
con tal (de) que ...,provided that ...,,clause-for-subjunctive
cuando ...,when ...,,clause-for-subjunctive
conviene que ...,it is advisable that ...,,clause-for-subjunctive
después (de) que ...,after ...,,clause-for-subjunctive
dudar que ...,to doubt that ...,,clause-for-subjunctive
en caso de que ...,in case ...,,clause-for-subjunctive
en cuanto ...,as soon as ...,,clause-for-subjunctive
es aconsejable que ...,it's advisable that ...,,clause-for-subjunctive
es bueno que ...,it's good that ...,,clause-for-subjunctive
es difícil que ...,it's unlikely that ...,,clause-for-subjunctive
es dudoso que ...,it is doubtful that ...,,clause-for-subjunctive
es fácil que ...,it's likely that ...,,clause-for-subjunctive
es fantástico que ...,it's fantastic that ...,,clause-for-subjunctive
es importante que ...,it's important that ...,,clause-for-subjunctive
es imposible que ...,it's impossible that ...,,clause-for-subjunctive
es improbable que ...,it's unlikely that ...,,clause-for-subjunctive
es incierto que ...,it's uncertain that ...,,clause-for-subjunctive
es increíble que ...,it's incredible that ...,,clause-for-subjunctive
es (una) lástima que ...,it's a pity that ...,,clause-for-subjunctive
es malo que ...,it's bad that ...,,clause-for-subjunctive
es mejor que ...,it's better that ...,,clause-for-subjunctive
es menester que ...,it's necessary that ...,,clause-for-subjunctive
es necesario que ...,it's necessary that ...,,clause-for-subjunctive
esperar que ...,to wish that ...,,clause-for-subjunctive
es posible que ...,it's possible that ...,,clause-for-subjunctive
es preciso que ...,it's necessary that ...,,clause-for-subjunctive
es preferible que ...,it's preferable that ...,,clause-for-subjunctive
es probable que ...,it's probable that ...,,clause-for-subjunctive
es raro que ...,it's rare that ...,,clause-for-subjunctive
es ridículo que ...,it's ridiculous that ...,,clause-for-subjunctive
estar contento que,to be happy that ...,,clause-for-subjunctive
es terrible que ...,it's terrible that ...,,clause-for-subjunctive
hasta que ...,until ...,,clause-for-subjunctive
insistir en que ...,to insist that ...,,clause-for-subjunctive
mandar que ...,to order that ...,,clause-for-subjunctive
más vale que ...,it's better that ...,,clause-for-subjunctive
mientras que ...,while ...,,clause-for-subjunctive
negar que ...,to deny that ...,,clause-for-subjunctive
no creer que ...,not to believe that ...,,clause-for-subjunctive
no es cierto que ...,it's not certain that ...,,clause-for-subjunctive
no estar convencido de que ...,to not be convinced that ...,,clause-for-subjunctive
no estar seguro de que ...,to not be sure that ...,,clause-for-subjunctive
no es verdad que ...,it's not true that ...,,clause-for-subjunctive
no imaginarse que ...,to not imagine that ...,,clause-for-subjunctive
no parecer que ...,to not seem that ...,,clause-for-subjunctive
no pensar que ...,to not think that ...,,clause-for-subjunctive
no suponer que ...,to not suppose that ...,,clause-for-subjunctive
ojalá que ...,if only he would ...,,clause-for-subjunctive
para que ...,in order that ...,,clause-for-subjunctive
pedir que ...,to ask that ...,,clause-for-subjunctive
preferir que ...,to prefer that ...,,clause-for-subjunctive
prohibir que ...,to prohibit that ...,,clause-for-subjunctive
puede ser que ...,it may be that ...,,clause-for-subjunctive
querer que ...,to want that ...,,clause-for-subjunctive
recomendar que ...,to recommend that ...,,clause-for-subjunctive
rogar que ...,to plead that ...,,clause-for-subjunctive
sentir que ...,to regret that ...,,clause-for-subjunctive
sin que ...,without ...,,clause-for-subjunctive
sugerir que ...,to suggest that ...,,clause-for-subjunctive
tan pronto como ...,as soon as ...,,clause-for-subjunctive
temer que ...,to fear that ...,,clause-for-subjunctive
tener miedo de que ...,to be afraid that ...,,clause-for-subjunctive

creer que ...,to believe that ...,,clause-for-indicative
no dudar que ...,to not doubt that ...,,clause-for-indicative
es cierto que ...,it is certain that ...,,clause-for-indicative
es claro que ...,it is clear that ...,,clause-for-indicative
es evidente que ...,it is certain that ...,,clause-for-indicative
es obvio que ...,it is obvious that ...,,clause-for-indicative
estar seguro que ...,to be sure that ...,,clause-for-indicative
es verdad que ...,it is true that ...,,clause-for-indicative
no cabe duda que ...,there's no doubt that ...,,clause-for-indicative
no es dudoso que ...,it is not doubtful that ...,,clause-for-indicative
no hay duda que ...,there is no doubt that ...,,clause-for-indicative

